Tempo,Canal 0,Canal 1
1702557206.595066,1.0,1.0
1702557206.5960667,1.0,1.0
1702557206.598066,1.0,1.0
1702557206.601957,1.0,1.0
1702557206.606957,1.0,1.0
1702557206.6117873,0.9814,0.8397
1702557206.622273,0.3079,0.0
1702557206.6243126,0.0,0.0
1702557206.6263118,0.0,0.0
1702557206.6283133,0.0,0.0
1702557206.630313,0.0,0.0
1702557206.6323133,0.0,0.0
1702557206.635259,0.0,0.0
1702557206.6372406,0.0,0.0
1702557206.640259,0.0,0.0
1702557206.6422582,0.0987,0.3099
1702557206.6442592,0.8749,1.0
1702557206.6462584,1.0,1.0
1702557206.6482594,1.0,1.0
1702557206.6508958,1.0,1.0
1702557206.652936,1.0,1.0
1702557206.6549354,1.0,0.9883
1702557206.6569366,0.5152,0.2199
1702557206.6589353,0.0,0.0
1702557206.6609373,0.0,0.0
1702557206.6629355,0.0,0.0
1702557206.6649373,0.0,0.0
1702557206.6677043,0.0,0.0
1702557206.669745,0.0,0.0
1702557206.6717436,0.0,0.0
1702557206.6737456,0.0,0.0
1702557206.6757438,0.0108,0.0626
1702557206.6777449,0.6481,1.0
1702557206.6797454,1.0,1.0
1702557206.6827474,1.0,1.0
1702557206.6854172,1.0,1.0
1702557206.6874135,1.0,1.0
1702557206.689416,1.0,1.0
1702557206.691414,0.8299,0.5758
1702557206.6934152,0.1281,0.0
1702557206.695414,0.0,0.0
1702557206.6974149,0.0,0.0
1702557206.700321,0.0,0.0
1702557206.7029724,0.0068,0.0
1702557206.703973,0.0,0.0
1702557206.705973,0.0,0.0
1702557206.707973,0.0,0.0
1702557206.7099736,0.0,0.0
1702557206.711973,0.2884,0.652
1702557206.7139735,1.0,1.0
1702557206.7201087,1.0,1.0
1702557206.724093,1.0,1.0
1702557206.7260888,1.0,1.0
1702557206.7280886,1.0,1.0
1702557206.7300892,0.9971,0.8631
1702557206.7320912,0.3196,0.0
1702557206.735563,0.0,0.0
1702557206.7375634,0.0,0.0
1702557206.7395804,0.0,0.0
1702557206.741578,0.0,0.0
1702557206.743578,0.0,0.0
1702557206.7455776,0.0,0.0
1702557206.7475777,0.0,0.0
1702557206.7507832,0.0,0.0
